model,best_hyperparameters,best_test_score,mean_train_score,mean_test_score,fit_time,score_time,refit_train_score,config_id
randomforestclassifier,{},0.2005505606096014,0.23416049253021526,0.17986155641794938,16.234626531600952,0.015709400177001953,0.2352809183010293,1
randomforestclassifier,{},0.20668118726042695,0.5144990838025146,0.20112175756296552,16.84212589263916,0.026685714721679688,0.5754230016336457,2
